Customer_ID,Name,Age,Gender,City,Employment_Type,Monthly_Income,Loan_Amount,Interest_Rate,Tenure_Months,Credit_Score,Vehicle_Type,Down_Payment,EMI,Previous_Default,Loan_Status
C0752,Indrans Hans,28.0,M,Thane,Business ,29132,366465,9.1,60,665.0,car,99966,4845,No,Default
C0439,Biju Sabharwal,32.0,F,Coimbatore,salaried,41604,276599,12.7,12,683.0,c ar,43842,21859,no,Default
C2389,Ayesha Master,38.0,M, Ahmedabad ,Self-employed,70396,430243,14.1,30,661.0,BikE,114635,12003,yes,Default
C3102,Samiha Jain,24.0,F,Noida,Goverment,74831,560057,11.4,30,686.0,SUV,129067,16004,0,Default
C1348,Badal Dara,19.0,F,Vadodara,salaried,17892,186787,9.2,48,696.0,c ar,25494,3669,0,no default
C1747,Samarth Biswas,,M,Ahmedabad,self employed,48487,516105,12.3,60,680.0,CAR,72269,8307,Yes,DEFAULT
C0763,Romil Dhaliwal,35.0,F,Coimbatore,Business ,45173,557221,14.8,18,627.0,Suv,51607,32246,No,Default
C0781,Misha Sengupta,18.0,F,Mumbai, salarieD,39011,470715,12.4,30,736.0,suv,97876,13969,0,No Default
C2785, Zoya Soman ,43.0,F,Thane,salaried,35489,168374,13.4,48,659.0,BIKE,29903,3271,NO,No Default
C2632,Chirag Babu,40.0,F,Indore,bussiness,30476,259605,11.0,12,733.0,c ar,58537,18598,No,Default
C0135,Nayantara Lala,34.0,F,Indore,BUSINESS,28973,114709,16.4,30,720.0,bike,29530,3304,No,No Default
C2071,Kimaya Sant,29.0,F,Ahmedabad, salarieD,67561,826767,14.8,12,697.0,CAR,129684,66687,No,No Default
C2905,Alisha Jain,28.0,F,Noida,Student ,43008,340100,10.8,24,497.0,CAR,63232,12782,NO,No Default
C0331,Aarush Kalita,28.0,F, Visakhapatnam ,Goverment,48072,375117,12.3,72,626.0,c ar,83143,4553,NO,No Default
C2159,Nehmat Tata,31.0,F,Pune,Salaried,74231,447477,9.3,72,642.0,car,92225,5392,N,Default
C3064,Advik Hari,25.0,M,Hyderabad,Govt,94745,826954,8.0,12,644.0,c ar,212594,55292,N,Default
C3161,Aniruddh  Vala,46.0,F,Pune,Salaried,61282,255313,13.1,36,687.0,Bike,13461,7598,Y,No Default
C0010,Chirag Gala,26.0,F,Pune, salarieD,59258,357838,13.3,72,732.0,car,83108,4323,NO,Default
C2065,Dhanuk Dhawan,37.0,F,Kochi,Student ,73268,269230,10.4,12,641.0,BIKE,39238,21159,Y,No Default
C1367,dhanuk krishna,49.0,F,KOCHI,SALARIED,37287,162490,11.3,60,591.0,BIKE,31684,2426,no,Default
C0495,Divyansh Sarkar,22.0,F,Hyderabad,Unemployed,59553,358538,,60,684.0,Bike,84025,5105,1,No Default
C0374,Samarth Anand,40.0,M,Vadodara,salaried,42302,438649,11.9,60,808.0,Suv,64442,6978,No, No Default 
C0164,Khushi Mani,42.0,F,Kochi,Business,76160,786754,10.6,60,703.0,car,212594,10583,Yes,Default
C0671,Zara Karan,27.0,M,Visakhapatnam,Salaried ,58492,686799,9.8,72,797.0,c ar,112983,8750,N,No Default
C2196,Samarth Lall,38.0,F,Jaipur,salaried,65181,301221,14.2,72,558.0,Bike,81045,3492,NO,Default
C0109, Sahil Loke ,34.0,F,Bhopal,salaried,50317,532987,9.6,60,612.0,truck,125777,7438,No,No Default
C1460,Vihaan Ganguly,34.0,M,Patna, salarieD,28232,236960,13.2,24,689.0,S U V,37594,9403,N,No Default
C0973,Jhanvi Zachariah,22.0,F,Thane,BUSINESS,37632,453684,12.0,30,711.0,suv,32088,15739,No,No Default
C0489,Keya Das,23.0,M,Bengaluru, salarieD,87655,1103738,12.0,18,580.0,c ar,245825,53381,No,Default
C1999,Aarav Balay,32.0,M,Bhopal,Salaried ,21305,116223,11.9,24,689.0,bike,20867,4445,N,No Default
C0779,Hazel Grewal,26.0,F,Nashik, salarieD,71736,1005571,11.0,72,544.0,Suv,233045,11909,1,Default
C1311,Hansh Jha,28.0,M,Kochi,Salaried,32023,392362,16.6,60,689.0,Truck,57000,6517,YES,Default
C1422,Abram Butala,32.0,F,Mumbai,Self Employed,118898,740074,15.3,18,724.0,Car,114109,40096,no,Default
C2630,Sahil Raj,26.0,F,Surat,Self-employed,54727,507545,13.6,24,525.0,c ar,115019,18579,Yes,Default
C1171,Amira Wali,38.0,M,Patna,Salaried,55350,571425,11.5,30,674.0,car,146931,15777,No,Default
C0886,Sahil Zachariah,42.0,M,Kochi, salarieD,38001,199685,14.0,30,695.0,BIKE,54612,5512,No,Default
C0078,Madhav Atwal,,M,Surat, salarieD,32131,309812,12.3,72,778.0,c ar,81494,3561,Y,No Default
C3058,Dhruv Ranganathan,27.0,M,Lucknow,,95674,511110,11.2,60,629.0,BIKE,132377,7019,yes,Default
C3078,Rania Bakshi,25.0,M,Hyderabad,,44548,500151,13.2,12,715.0,CAR,68384,40730,yes,No Default
C3129,Darshit Babu,48.0,M,Vadodara,Self-employed,43317,375545,14.2,12,639.0,c ar,22091,33637,No,Default
C2998,Krish Ramachandran,52.0,F,Indore,Business,45292,587121,9.0,18,680.0,S U V,122199,28153,no,No Default
C0093,Anahita Srinivas,32.0,F,Chennai,self employed,87587,289406,17.2,24,741.0,BIKE,68403,10792,0,No Default
C2545,Rhea Savant,48.0,F,Nagpur,Self  Employed,133206,998808,9.7,48,686.0,Suv,60359,21447,N,Default
C2763,Samiha Varghese,36.0,F,Bengaluru,Salaried ,65099,693273,9.1,36,699.0,CAR,108887,17710,NO,Default
C1233,Anay Keer,20.0,M,Chennai,Business,30030,108597,10.1,72,729.0, BikE ,17760,2000,NO,No Default
C0153,Rati Barad,32.0,F,Mumbai,,50001,217261,9.6,48,717.0,bike,62460,3534,No,No Default
C2981,Umang Garg,42.0,F,Visakhapatnam,Self Employed,30986,370522,9.5,12,726.0,c ar,106880,24057,N,Default
C0638,Taimur Tak,40.0,M,Indore,salaried,27711,276326,13.4,48,727.0,Car,55963,5206,0,Default
C1130,Shalv Jha,30.0,M,Kochi,Salaried ,87070,1005251,13.0,18,739.0,CAR,107668,56348,NO,No Default
C2220,Yakshit Sangha,19.0,F,Hyderabad,Govt,120249,1305141,11.1,24,649.0,SUV,82686,56589,1,default
C2457,Reyansh Tata,25.0,M,Delhi,Self-employed,54871,278143,12.7,60,714.0,BikE,24246,4769,0,No Default
C1119,Nehmat Barad,,M,Nagpur,SALARIED,46076,138606,13.7,60,591.0,BikE,11132,2415,YES,No Default
C1138,Kanav Chatterjee,34.0,M,Bengaluru,Salaried,44095,680375,11.0,30,796.0,Suv,51156,23281,N, No Default 
C0290,Jiya Chandran,36.0,F,Gurugram,Salaried ,61470,397937,12.8,12,796.0,CAR,28027,34771,1,No Default
C2382,Rati Devi,34.0,F,Delhi,SALARIED,46359,595600,9.3,36,662.0,CAR,59870,16265,No,No Default
C0613,Reyansh Sarin,37.0,M,Coimbatore,salaried,87949,518858,11.9,30,611.0,bike,107675,15337,N,Default
C0283,Lakshit Sood,24.0,M,Bhopal,Self  Employed,51545,580377,12.8,24,678.0,car,39024,25443,NO,Default
C2850,Jivin Srivastava,40.0,M,Kochi,Salaried,45803,379324,13.1,24,614.0,CAR,70113,14571,0,DEFAULT
C0574,Miraya Hari,41.0,M,Hyderabad,Salaried ,102513,1236584,11.4,48,542.0,Car,253311,22820,NO,Default
C1432,Shray Gour,30.0,F,Ahmedabad,Business ,71562,1049458,10.2,30,603.0,Suv,66409,36110,no,No Default
C2663,Bhamini Sabharwal,39.0,F,Gurugram,SALARIED,32043,353968,16.2,18,630.0, CAR ,26119,21164,no,Default
